City,Number of Accidents,population,Accidents_Population
Crowley,25,19932.0,0.0012542644992976119
Crystal,11,6099.0,0.0018035743564518774
Cuero,1,8204.0,0.00012189176011701609
Cumby,4,706.0,0.0056657223796034
Daingerfield,5,2502.0,0.0019984012789768186
Dalhart,18,8353.0,0.0021549144020112532
Dallas,119311,1302868.0,0.09157566230807726
Danbury,12,1675.0,0.007164179104477612
Dawson,3,817.0,0.0036719706242350062
Dayton,13,9693.0,0.0013411740431239039
De Kalb,8,1461.0,0.0054757015742642025
De Leon,4,2337.0,0.0017115960633290544
Decatur,16,8016.0,0.001996007984031936
Deer Park,212,33176.0,0.006390161562575355
Del Rio,9,34574.0,0.0002603112165210852
Dell,2,271.0,0.007380073800738007
Denison,11,26343.0,0.0004175682344455833
Denton,1737,158349.0,0.01096944091847754
Detroit,1,707.0,0.0014144271570014145
Devine,5,4580.0,0.001091703056768559
Diboll,17,4551.0,0.0037354427598330037
Dickens,1,208.0,0.004807692307692308
Dickinson,246,21834.0,0.011266831547128332
Dilley,9,3333.0,0.0027002700270027003
Dimmitt,8,4071.0,0.0019651191353475803
Donna,7,16782.0,0.00041711357406745323
Dripping Springs,65,8689.0,0.007480722752905973
Dublin,2,3422.0,0.0005844535359438924
Dumas,3,14291.0,0.0002099223287383668
Duncanville,1101,38883.0,0.028315716379908956
Eagle Lake,3,3508.0,0.0008551881413911061
Eagle Pass,4,28282.0,0.0001414327133866063
Earth,2,897.0,0.002229654403567447
East Bernard,10,2240.0,0.004464285714285714
Eastland,25,3645.0,0.006858710562414266
Edcouch,4,2677.0,0.0014942099364960778
Eden,9,1834.0,0.004907306434023991
Edinburg,76,105799.0,0.0007183432735659127
Edna,11,6012.0,0.001829673985362608
El Campo,9,12062.0,0.000746144917924059
El Paso,15293,678958.0,0.022524220938555845
Electra,19,2272.0,0.008362676056338027
Elgin,233,12304.0,0.018936931079323798
Elmendorf,89,2398.0,0.03711426188490409
Emory,1,1366.0,0.0007320644216691069
Encinal,12,521.0,0.023032629558541268
Ennis,126,23686.0,0.005319598074812125
Euless,654,59686.0,0.010957343430620246
Eustace,1,1157.0,0.000864304235090752
Fairfield,11,2972.0,0.0037012113055181696
Falfurrias,7,4420.0,0.001583710407239819
Farmersville,5,4175.0,0.0011976047904191617
Farwell,4,1380.0,0.002898550724637681
Fate,21,24626.0,0.0008527572484366117
Fayetteville,2,250.0,0.008
Ferris,159,3370.0,0.04718100890207715
Flatonia,13,1371.0,0.009482129832239242
Florence,49,1203.0,0.040731504571903575
Flower Mound,4,79445.0,5.034929825665555e-05
Floydada,4,2519.0,0.0015879317189360857
Forest Hill,80,14157.0,0.005650914741823832
Forney,611,35470.0,0.0172258246405413
Fort Stockton,53,8113.0,0.006532725255762357
Fort Worth,15463,978468.0,0.015803276141887115
Franklin,3,1728.0,0.001736111111111111
Frankston,7,1111.0,0.0063006300630063005
Fredericksburg,25,11542.0,0.002166002425922717
Freeport,34,10550.0,0.0032227488151658767
Friendswood,333,40826.0,0.008156566893646206
Frisco,272,225007.0,0.0012088512801823944
Fritch,3,1794.0,0.0016722408026755853
Fulshear,3,42616.0,7.039609536324385e-05
Gainesville,21,18107.0,0.0011597724636880765
Galena Park,6,10271.0,0.0005841690195696621
Galveston,152,53237.0,0.0028551571275616584
Ganado,9,2007.0,0.004484304932735426
Garland,2414,243470.0,0.009914979258224833
Garrison,1,817.0,0.0012239902080783353
Gary,1,338.0,0.0029585798816568047
Gatesville,3,16148.0,0.0001857815209313847
George West,1,2167.0,0.00046146746654360867
Georgetown,518,96312.0,0.0053783536838607855
Giddings,7,5254.0,0.0013323182337266844
Gilmer,7,5100.0,0.0013725490196078432
Gladewater,4,6272.0,0.0006377551020408163
Glen Rose,2,2887.0,0.0006927606511950121
Glenn Heights,1,18793.0,5.321130208056191e-05
Godley,2,3589.0,0.0005572582892170521
Goldsmith,6,226.0,0.02654867256637168
Goldthwaite,13,1762.0,0.0073779795686719635
Goliad,18,1683.0,0.0106951871657754
Gonzales,7,7221.0,0.0009693948206619581
Goodrich,1,278.0,0.0035971223021582736
Gordon,8,489.0,0.016359918200409
Graford,10,717.0,0.01394700139470014
Graham,2,8819.0,0.00022678308198208414
Granbury,11,12622.0,0.0008714942164474727
Grand Prairie,3951,202134.0,0.019546439490634924
Grandview,45,1926.0,0.02336448598130841
Granger,5,1193.0,0.004191114836546521
Granite Shoals,3,5451.0,0.000550357732526142
Grapeland,2,1487.0,0.0013449899125756557
Grapevine,909,50928.0,0.017848727615457118
Greenville,48,32717.0,0.001467127181587554
Groom,8,549.0,0.014571948998178506
Groves,5,16764.0,0.0002982581722739203
Groveton,14,934.0,0.014989293361884369
Gruver,4,1083.0,0.003693444136657433
Gun Barrel,1,6824.0,0.00014654161781946072
Gunter,1,2463.0,0.0004060089321965083
Hale Center,3,1997.0,0.0015022533800701052
Hallettsville,2,2756.0,0.000725689404934688
Hallsville,15,4812.0,0.003117206982543641
Haltom,248,45290.0,0.005475822477368072
Hamilton,5,2997.0,0.001668335001668335
Hamlin,2,1851.0,0.0010804970286331713
Harker Heights,4,34447.0,0.00011612041687229658
Harlingen,20,71510.0,0.00027968116347364006
Harwood,14,52.0,0.2692307692307692
Haskell,4,3058.0,0.0013080444735120995
Haslet,52,3861.0,0.013468013468013467
Hawley,4,567.0,0.007054673721340388
Hearne,6,4535.0,0.001323042998897464
Hedley,3,265.0,0.011320754716981131
Helotes,16,9952.0,0.001607717041800643
Hemphill,5,1033.0,0.00484027105517909
Hempstead,68,6537.0,0.010402325225638671
Henderson,7,13464.0,0.0005199049316696376
Henrietta,17,3239.0,0.005248533497993208
Hereford,37,14752.0,0.002508134490238612
Hickory Creek,15,5688.0,0.0026371308016877636
Hico,4,1460.0,0.0027397260273972603
Hidalgo,2,14678.0,0.0001362583458236817
Hillsboro,59,8703.0,0.006779271515569344
Hitchcock,44,7710.0,0.005706874189364461
Holliday,12,1650.0,0.007272727272727273
Hondo,5,8786.0,0.0005690871841566128
Hooks,10,2484.0,0.004025764895330112
Horizon,5,24168.0,0.00020688513737173123
Horseshoe Bay,2,5063.0,0.00039502271380604387
Houston,156968,2314157.0,0.06782945150221009
Howe,6,3673.0,0.0016335420637081405
Hudson Oaks,5,2656.0,0.0018825301204819277
Humble,2344,16237.0,0.1443616431606824
Huntington,5,2062.0,0.0024248302618816685
Huntsville,65,48552.0,0.0013387708024386225
Hurst,608,39304.0,0.015469163443924282
Hutchins,292,6149.0,0.04748739632460563
Hutto,154,38765.0,0.003972655746162776
Idalou,6,2106.0,0.002849002849002849
Industry,2,282.0,0.0070921985815602835
Iola,4,339.0,0.011799410029498525
